CODIGO;PRODUCTO;CATEGORIAS;RUBRO;SUB RUBRO;PORCENTAJE IVA;COD BARRA;COSTO;COSTO TOTAL;PROVEEDOR;STOCKEABLE;ACEPTA STOCK NEGATIVO;TIPO DE PRODUCTO;DESCRIPCION;ULTIMA ACT. COSTO;MONEDA
1242;CABLE USB A MICROUSB OEM - NEGRO;;CABLES Y ADAPTADORES;MICRO USB - V8;21;1242;1500;1500;;S;S;SIMPLE;;24/4/2025;PESOS
24909;ADAPTADOR MULTI ENCHUFE MUNDIAL;;CABLES Y ADAPTADORES;TENSION;21;24909;3435,95;3435,95;TECNOPRICES;S;S;SIMPLE;;11/8/2025;PESOS
20257;DISCO SOLIDO SSD 256GB M2 MICRON 2450 22X80MM PCIE 3.0 NVME;;ALMACENAMIENTO;DISCOS SOLIDOS;10,5;20257;22383,45;22383,45;TECNOPRICES;S;S;SIMPLE;;11/8/2025;PESOS
2050;LAPIZ IMPRESORA 3D RECARGABLE P11-HT;;JUGUETERIA;JUGUETES;21;2050;12830;12830;IMPOTEKNO;S;S;SIMPLE;;11/8/2025;PESOS
097855088819;COMBO TECLADO + MOUSE LOGITECH INALAMBRICO MK220;;TECLADOS;COMBOS;10,5;097855088819;17247,93;17247,93;GRUPO NUCLEO, ANGEL;S;S;SIMPLE;;27/2/2025;PESOS
723540564565;HOLDER DOBLE SOPAPA;;ACCESORIOS;DE CELULARES;21;723540564565;694,21;694,21;IMPOTEKNO;S;S;SIMPLE;;11/8/2025;PESOS
6900780012320;LINTERNA MINI CAMUFLADO RECARGABLE BN1232;;ILUMINACION;LINTERNA LED;21;6900780012320;2122;2122,31;IMPOTEKNO;S;S;SIMPLE;;10/11/2025;PESOS
140L14;MINI PIZARRA LLAVERO CAPYBARA;;JUGUETERIA;JUGUETES;21;140L14;841;841,32;IMPOTEKNO;S;S;SIMPLE;;10/11/2025;PESOS
7897791465858;REPETIDOR WIFI H300M BN0197;;CONECTIVIDAD;EXTENSOR DE RANGO;10,5;7897791465858;7733;7733,03;IMPOTEKNO;S;S;SIMPLE;;10/11/2025;PESOS
3136;PARLANTE BARRA DE SONIDO LUCES RGB BT (KTS-1965);;AUDIO;PARLANTES;21;3136;14318;14318,18;IMPOTEKNO;S;S;SIMPLE;;10/11/2025;PESOS
6982025040312;AURICULAR BLUETOOTH CAPYBARA + ESTUCHE JK609;;AUDIO;AURICULARES;10,5;6982025040312;6697;6696,83;IMPOTEKNO;S;S;SIMPLE;;10/11/2025;PESOS
6152025042016;AURICULAR VINCHA RECARGABLES BT + CARTERA CAPIBARA CARPINCHO;;AUDIO;AURICULARES;10,5;6152025042016;7355;7355,37;IMPOTEKNO;S;S;SIMPLE;;10/11/2025;PESOS
1702;HUMIFICADOR DIFUSOR RECARGABLE LED RGB PORTATIL ESENCIAS HMF-91074;;ACCESORIOS;DE AUTO;21;1702;5455;5454,55;IMPOTEKNO;S;S;SIMPLE;;10/11/2025;PESOS
1703;HUMIDIFICADOR DIFUSOR PROYECTOR LED USB HMF-91062;;ACCESORIOS;DE AUTO;21;1703;6529;6528,93;IMPOTEKNO;S;S;SIMPLE;;10/11/2025;PESOS
731299174348;RADIO SUONO 2 BANDAS AM/FM AYV0118;;RADIOS;PORTATILES;21;731299174348;6030;6029,75;IMPOTEKNO;S;S;SIMPLE;;10/11/2025;PESOS
71068;SOPORTE PARA CELULAR PARA AUTO EN ESPEJO RETROVISOR NEGRO HD-71068;;ACCESORIOS;DE AUTO;21;71068;1472;1471,9;IMPOTEKNO;S;S;SIMPLE;;10/11/2025;PESOS
2051;MONOPATIN DISEÑOS C/LUZ REFORZADO SV-4;;JUGUETERIA;JUGUETES;21;2051;23313,22;23313,22;IMPOTEKNO;S;S;SIMPLE;;11/8/2025;PESOS
723540564404;BALANZA DE BAÑO PERSONAJES;;JUGUETERIA;JUGUETES;21;723540564404;7540;7540;;S;S;SIMPLE;;11/8/2025;PESOS
83042;PROYECTOR ASTRONAUTA SENTADO CON GUITARRA;;JUGUETERIA;JUGUETES;21;83042, 714604235903;9917,36;9917,36;DISTRIBUIDORA ORION, JOSE;S;S;SIMPLE;;15/8/2025;PESOS
CF248ACOMP;TONER GLOBAL HP CF248A CON CHIP;;INSUMOS DE IMPRESION;TONERS ALTERNATIVOS;21;CF248ACOMP;8348;8348;JCK, JUAN;S;S;SIMPLE;;11/7/2025;PESOS
6935482113761;TONER ALTERNATIVO GNEISS HP W 105A SIN CHIP;;INSUMOS DE IMPRESION;TONERS ALTERNATIVOS;21;6935482113761;6257,85;6257,85;TODOINSUMOS;S;S;SIMPLE;;30/5/2025;PESOS
0198155192883;"NOTEBOOK LENOVO IP SLIM 3 15AMN8 15.6"" AMD R5-8GB+512GB W11H + MALETIN DE REGALO - SN: PF56ZXS2 - GTIA 12M";;COMPUTADORAS;NOTEBOOKS;10,5;0198155192883;626500;626500;;S;S;SIMPLE;;22/4/2025;PESOS
091163259251;TECLADO NUMERICO GENIUS NUMPAD 110 USB;;TECLADOS;USB ALAMBRICO;10,5;091163259251, 4710268259251;8784,6;8784,6;TECNOPRICES;S;S;SIMPLE;;6/6/2025;PESOS
15046;FUENTE LNZ 550W XS550-PS +12V 32A 1X24PINES 1X4PINES 3XSATA 2XMOLEX;;ACCESORIOS;DE PC;21;15046;15120;15120;TECNOPRICES;S;S;SIMPLE;;6/6/2025;PESOS
6920620009044;CARTUCHO GTC P/ EPSON T731 NEGRO 13ML;;INSUMOS DE IMPRESION;CARTUCHOS ALTERNATIVOS EPSON;10,5;6920620009044;1620;1620;TECNOPRICES;S;S;SIMPLE;;6/6/2025;PESOS
6920620009068;CARTUCHO GTC P/ EPSON T732 CYAN 13ML;;INSUMOS DE IMPRESION;CARTUCHOS ALTERNATIVOS EPSON;10,5;6920620009068;2688;2688;JCK, JUAN;S;S;SIMPLE;;27/6/2025;PESOS
4049;CARRY DISK 2.5 SATA USB 2.0 CABLE NEGRO;;ACCESORIOS;DE PC;10,5;4049, 6936103601023;5921,49;5921,49;TECNOPRICES;S;S;SIMPLE;;20/3/2025;PESOS
7796728000998;CARTUCHO GTC HP 664XL NEGRO;;INSUMOS DE IMPRESION;CARTUCHOS ALTERNATIVOS HP;10,5;7796728000998;14365,29;14365,29;TECNOPRICES;S;S;SIMPLE;;20/3/2025;PESOS
7796728001001;CARTUCHO GTC HP 664XL COLOR;;INSUMOS DE IMPRESION;CARTUCHOS ALTERNATIVOS HP;10,5;7796728001001;15619,83;15619,83;TECNOPRICES;S;S;SIMPLE;;20/3/2025;PESOS
7908842833806;KIT TECLADO + MOUSE MULTILASER TC309 USB MOUSE 1200DPI CABLE 1.2MTS TECLADO 105 TECLAS CABLE 1.2MTS ESPANOL NEGRO;;TECLADOS;COMBOS;10,5;7908842833806;4669,42;4669,42;TECNOPRICES;S;S;SIMPLE;;20/3/2025;PESOS
7908414459038;TECLADO MULTILASER GK-120 TC504 CON CABLE USB 1.5MTS CON SOPORTE PARA TELEFONO - ESPANOL - GAMER;;TECLADOS;GAMER;10,5;7908414459038;4735,54;4735,54;TECNOPRICES;S;S;SIMPLE;;20/3/2025;PESOS
7908414459052;TECLADO MULTILASER GK-500 CON CABLE USB 1.5MTS RAINBOW MECANICO SWITCH AZUL 26 TECLAS ANTI GHOSTING - ESPANOL - GAMER;;TECLADOS;GAMER;10,5;7908414459052;15854;15853,72;TECNOPRICES;S;S;SIMPLE;;20/3/2025;PESOS
1823;ADAPTADOR BLUETOOTH 5.0 USB EN BOLSA;;ACCESORIOS;DE PC;10,5;1823;3322,31;3322,31;TECNOPRICES;S;S;SIMPLE;;20/3/2025;PESOS
