CODIGO;PRODUCTO;DISPONIBLE PARA;CATEGORIAS;UNIDAD MEDIDA;PORCENTAJE IVA;COD BARRA;COSTO;COSTO TOTAL;PROVEEDOR;STOCKEABLE;ACEPTA STOCK NEGATIVO;TIPO DE PRODUCTO;DESCRIPCION;ULTIMA ACT. COSTO;MONEDA
1242;CABLE USB A MICROUSB OEM - NEGRO;TODOS;CABLES Y ADAPTADORES > MICRO USB - V8;UNIDAD;iva21;1242;1500,00;1500,00;;S;S;SIMPLE;;24/4/2025;PESOS
24909;ADAPTADOR MULTI ENCHUFE MUNDIAL;TODOS;CABLES Y ADAPTADORES > TENSION;UNIDAD;iva21;24909;3435,95;3435,95;TECNOPRICES;S;S;SIMPLE;;11/8/2025;PESOS
20257;DISCO SOLIDO SSD 256GB M2 MICRON 2450 22X80MM PCIE 3.0 NVME;TODOS;ALMACENAMIENTO > DISCOS SOLIDOS;UNIDAD;iva105;20257;22383,45;22383,45;TECNOPRICES;S;S;SIMPLE;;11/8/2025;PESOS
2050;LAPIZ IMPRESORA 3D RECARGABLE P11-HT;TODOS;JUGUETERIA > JUGUETES;UNIDAD;iva21;2050;12830,00;12830,00;IMPOTEKNO;S;S;SIMPLE;;11/8/2025;PESOS
97855088819;COMBO TECLADO + MOUSE LOGITECH INALAMBRICO MK220;TODOS;TECLADOS > COMBOS;UNIDAD;iva105;97855088819;17247,93;17247,93;GRUPO NUCLEO, ANGEL;S;S;SIMPLE;;27/2/2025;PESOS
723540564565;HOLDER DOBLE SOPAPA;TODOS;ACCESORIOS > DE CELULARES;UNIDAD;iva21;723540564565;694,21;694,21;IMPOTEKNO;S;S;SIMPLE;;11/8/2025;PESOS
6900780012320;LINTERNA MINI CAMUFLADO RECARGABLE BN1232;TODOS;ILUMINACION > LINTERNA LED;UNIDAD;iva21;6900780012320;2122,00;2122,31;IMPOTEKNO;S;S;SIMPLE;;10/11/2025;PESOS
140L14;MINI PIZARRA LLAVERO CAPYBARA;TODOS;JUGUETERIA > JUGUETES;UNIDAD;iva21;140L14;841,00;841,32;IMPOTEKNO;S;S;SIMPLE;;10/11/2025;PESOS
7897791465858;REPETIDOR WIFI H300M BN0197;TODOS;CONECTIVIDAD > EXTENSOR DE RANGO;UNIDAD;iva105;7897791465858;7733,00;7733,03;IMPOTEKNO;S;S;SIMPLE;;10/11/2025;PESOS
3136;PARLANTE BARRA DE SONIDO LUCES RGB BT (KTS-1965);TODOS;AUDIO > PARLANTES;UNIDAD;iva21;3136;14318,00;14318,18;IMPOTEKNO;S;S;SIMPLE;;10/11/2025;PESOS
